URL,İlan No,İlan Tarihi,İlçe,İl,Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Takasa Uygun,Kimden
"https://www.arabam.com/ilan/galeriden-satilik-seat-ibiza-1-4-style/acil514950tl2015-ibiza-1-4-orjinal-bakimli-multimedia-177000km/35357261","35357261",30 Kasım 2025,"Gaziemir","İzmir","514.950 TL","Seat","Ibiza","1.4 Style","2015","177.000 km","Düz","Benzin","Hatchback/5","Beyaz","1390 cc","85 hp","Önden Çekiş","İkinci El","5,9 lt","45 lt","Takasa Uygun Değil","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-3-multijet-active-plus/galeriden-fiat-linea-1-3-multijet-active-plus-2014-model-izmir/28427416","28427416",30 Kasım 2025,"Konak","İzmir","379.000 TL","Fiat","Linea","1.3 Multijet Active Plus","2014","350.400 km","Düz","Dizel","Sedan","Beyaz","1248 cc","95 hp","Önden Çekiş","İkinci El","4,9 lt","45 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/sahibinden-satilik-seat-toledo-1-6-tdi-style/2015-seat-toledo-1-6-tdi-otomatik-degisensiz/35315057","35315057",30 Kasım 2025,"Karabağlar","İzmir","690.000 TL","Seat","Toledo","1.6 TDI Style","2015","254.000 km","Yarı Otomatik","Dizel","Hatchback/5","Beyaz","1598 cc","90 hp","Önden Çekiş","İkinci El","4,5 lt","55 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-5-tdci-trend-x/sahibinden-ford-focus-1-5-tdci-trend-x-2016-model/35308389","35308389",30 Kasım 2025,"Buca","İzmir","887.000 TL","Ford","Focus","1.5 TDCi Trend X","2016","212.000 km","Otomatik","Dizel","Sedan","Beyaz",,,,"İkinci El",,,,"Sahibinden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/galeriden-volkswagen-golf-1-4-tsi-highline-2015-model-izmir/34738886","34738886",30 Kasım 2025,"Bergama","İzmir","1.300.000 TL","Volkswagen","Golf","1.4 TSi Highline","2015","179.000 km","Yarı Otomatik","Benzin","Hatchback/5","Mavi (metalik)","1395 cc","125 hp","Önden Çekiş","İkinci El","5 lt","50 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-peugeot-e-208-gt/peugeot-elektirikli-208-e-gt-ozel-renk/32081295","32081295",30 Kasım 2025,"Gaziemir","İzmir","1.405.000 TL","Peugeot","e-208","GT","2024","16.524 km","Otomatik","Elektrik","Hatchback/5","Yeşil",,"136 hp","Önden Çekiş","İkinci El",,,"Takasa Uygun Değil","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-4-tsi-bluemotion-comfortline/67-000-km-de-passat-comfortline-24-ay-senet-k-karti-12taksit/34758184","34758184",30 Kasım 2025,"Bornova","İzmir","1.365.000 TL","Volkswagen","Passat","1.4 TSi BlueMotion Comfortline","2016","67.000 km","Otomatik","Benzin","Sedan","Beyaz","1201 - 1400 cm3","101 - 125 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-0-impression/2023-model-polo-boyasiz-degisensiz-tramersiz-24ay-senet-k-kart/34757642","34757642",30 Kasım 2025,"Bornova","İzmir","955.000 TL","Volkswagen","Polo","1.0 Impression","2023","110.000 km","Düz","Benzin","Hatchback/5","Gri","999 cc","80 hp","Önden Çekiş","İkinci El","5,1 lt","40 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-toyota-yaris-1-4-d-4d-terra/2011-model-otomatik-yaris-1-4d-terra-sporty/34756280","34756280",30 Kasım 2025,"Gaziemir","İzmir","659.000 TL","Toyota","Yaris","1.4 D-4D Terra","2011","219.000 km","Otomatik","Dizel","Hatchback/5","Füme","1201 - 1400 cm3","76 - 100 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-hyundai-i20-1-4-mpi-style-plus/2022-1-4mpi-sunroof-derikoltuk-degisensiz-boyasiz-otosor-36ay/32271685","32271685",30 Kasım 2025,"Karabağlar","İzmir","1.327.500 TL","Hyundai","i20","1.4 MPI Style Plus","2022","65.000 km","Otomatik","Benzin","Hatchback/5","Beyaz","1201 - 1400 cm3","76 - 100 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun Değil","Galeriden"
